"Player Name","City, State","Position","Composite Rating","Star Rating","University","Conference","Class","Latitude","Longitude"
"Ian Massey","Athens, TX","S",NA,NA,"Oregon State","Pac 12",2021,32.2044416,-95.854914
"Skyler Thomas","Menlo Park, CA","CB",NA,NA,"Oregon State","Pac 12",2021,37.4519671,-122.1779927
"Korey Foreman","Corona, CA","DL",0.9993,"5","USC","Pac 12",2021,33.8752945,-117.5664449
"Raesjon Davis","Santa Ana, CA","LB",0.9747,"4","USC","Pac 12",2021,33.7494951,-117.8732213
"Jaxson Dart","Draper, UT","QB",0.9694,"4","USC","Pac 12",2021,40.5246711,-111.8638226
"Miller Moss","Mission Hills, CA","QB",0.9663,"4","USC","Pac 12",2021,34.687584,-120.439017543046
"Ceyair Wright","Los Angeles, CA","CB",0.9636,"4","USC","Pac 12",2021,34.0536909,-118.242766
"Julien Simon","Tacoma, WA","LB",0.9445,"4","USC","Pac 12",2021,47.2495798,-122.4398746
"Kyron Ware-Hudson","Santa Ana, CA","WR",0.9421,"4","USC","Pac 12",2021,33.7494951,-117.8732213
"Michael Trigg","Tampa, FL","TE",0.9402,"4","USC","Pac 12",2021,27.9477595,-82.458444
"Prophet Brown","Elk Grove, CA","CB",0.929,"4","USC","Pac 12",2021,38.4087993,-121.3716178
"Jay Toia","Simi Valley, CA","DL",0.9235,"4","USC","Pac 12",2021,34.2677404,-118.7538071
"Calen Bullock","Pasadena, CA","ATH",0.9199,"4","USC","Pac 12",2021,34.1476452,-118.1444779
"Anthony Beavers Jr.","Harbor City, CA","ATH",0.9149,"4","USC","Pac 12",2021,33.7911012,-118.3012604
"Xamarion Gordon","Downey, CA","S",0.8972,"4","USC","Pac 12",2021,33.942215,-118.1235646
"Jaylin Smith","Mission Hills, CA","ATH",0.8954,"4","USC","Pac 12",2021,34.687584,-120.439017543046
"Brandon Campbell","Katy, TX","RB",0.8936,"4","USC","Pac 12",2021,29.7857853,-95.8243956
"Michael Jackson","Las Vegas, NV","WR",0.8893,"3","USC","Pac 12",2021,36.1672559,-115.148516
"Mason Murphy","San Juan Capistrano, CA","OT",0.8875,"3","USC","Pac 12",2021,33.5016932,-117.6625509
"Lake McRee","Austin, TX","TE",0.8784,"3","USC","Pac 12",2021,30.2711286,-97.7436995
"Colin Mobley","Hyattsville, MD","DL",0.8763,"3","USC","Pac 12",2021,38.9529442,-76.9408647
"Joseph Manjack","Tomball, TX","WR",0.8661,"3","USC","Pac 12",2021,30.0971621,-95.6160549
"Ty Buchanan","Corpus Christi, TX","IOL",0.8608,"3","USC","Pac 12",2021,27.7951482,-97.3942053
"Maximus Gibbs","Bellflower, CA","IOL",0.8572,"3","USC","Pac 12",2021,33.8825705,-118.1167679
"Wilfredo Aybar","Cheshire, CT","Edge",0.9347,"4","Stanford","Pac 12",2021,41.4989861,-72.900658
"Aaron Armitage","Blairstown, NJ","DL",0.9183,"4","Stanford","Pac 12",2021,40.9826981,-74.9605225
"Ari Patu","Folsom, CA","QB",0.8894,"3","Stanford","Pac 12",2021,38.6779591,-121.1760583
"Austin Uke","Dallas, TX","OT",0.8789,"3","Stanford","Pac 12",2021,32.7762719,-96.7968559
"Mitch Leigber","Laguna Hills, CA","S",0.8776,"3","Stanford","Pac 12",2021,33.5948758,-117.6882067
"Shield Taylor","Alexandria, LA","TE",0.8776,"3","Stanford","Pac 12",2021,31.311248,-92.4449087
"Jaden Slocum","Alpharetta, GA","S",0.87,"3","Stanford","Pac 12",2021,34.0709576,-84.2747329
"Jimmy Wyrick","Dallas, TX","CB",0.8667,"3","Stanford","Pac 12",2021,32.7762719,-96.7968559
"Ese Dubre","Powder Springs, GA","LB",0.8667,"3","Stanford","Pac 12",2021,33.8595492,-84.683824
"Jack Leyrer","Dallas, TX","OT",0.8622,"3","Stanford","Pac 12",2021,32.7762719,-96.7968559
"Caleb Ellis","Frisco, TX","S",0.8506,"3","Stanford","Pac 12",2021,33.1506744,-96.8236116
"Brendon Barrow","Clearwater, FL","RB",0.8457,"3","Stanford","Pac 12",2021,27.9658533,-82.8001026
"Zach Buckey","Bakersfield, CA","Edge",0.8451,"3","Stanford","Pac 12",2021,35.3738712,-119.0194639
"Jayson Raines","West Orange, NJ","WR",0.841,"3","Stanford","Pac 12",2021,40.7987113,-74.2390353
"Coco Lukrich","Park City, UT","IOL",0.8376,"3","Stanford","Pac 12",2021,40.6460635,-111.4979741
"Anthony Franklin","Phoenix, AZ","Edge",0.8322,"3","Stanford","Pac 12",2021,33.4484367,-112.0741417
"Connor Weselman","Atlanta, GA","P",0.8189,"3","Stanford","Pac 12",2021,33.7489924,-84.3902644
"Ethan Calvert","Westlake Village, CA","LB",0.9652,"4","Utah","Pac 12",2021,34.1460234,-118.8061794
"Peter Costelli","Mission Viejo, CA","QB",0.9095,"4","Utah","Pac 12",2021,33.5965685,-117.659405
"Mason Tufaga","Honolulu, HI","LB",0.9027,"4","Utah","Pac 12",2021,21.304547,-157.855676
"Ricky Parks","Tampa, FL","RB",0.8972,"4","Utah","Pac 12",2021,27.9477595,-82.458444
"Isaac Vaha","Pleasant Grove, UT","TE",0.8776,"3","Utah","Pac 12",2021,40.3641184,-111.73854
"Makai Cope","Culver City, CA","WR",0.8755,"3","Utah","Pac 12",2021,34.0211224,-118.396466
"Tevita Fotu","Ephraim, UT","DL",0.8729,"3","Utah","Pac 12",2021,39.3596842,-111.586305
"Trey Reynolds","Queen Creek, AZ","LB",0.8668,"3","Utah","Pac 12",2021,33.2483858,-111.6341585
"Cole Bishop","Fayetteville, GA","LB",0.8668,"3","Utah","Pac 12",2021,33.4487257,-84.4549262
"Koli Faaiu","Bothell, WA","IOL",0.8627,"3","Utah","Pac 12",2021,47.7598697,-122.2068288
"Elisha Lloyd","San Marcos, CA","CB",0.8626,"3","Utah","Pac 12",2021,33.1433723,-117.1661449
"Zereoue Williams","Phoenix, AZ","OT",0.8618,"3","Utah","Pac 12",2021,33.4484367,-112.0741417
"Velltray Jefferson","Fresno, CA","ATH",0.8615,"3","Utah","Pac 12",2021,36.7394421,-119.7848307
"Jonah Elliss","Moscow, ID","LB",0.8511,"3","Utah","Pac 12",2021,46.7323875,-117.0001651
"Darrien Stewart","Las Vegas, NV","S",0.8464,"3","Utah","Pac 12",2021,36.1672559,-115.148516
"Michael Mokofisi","Woods Cross, UT","DL",0.8464,"3","Utah","Pac 12",2021,40.8716964,-111.8925775
"Bryson Reeves","La Canada Flintridge, CA","ATH",0.8416,"3","Utah","Pac 12",2021,34.1998302,-118.2005236
"Viliami Pouha","South Jordan, UT","Edge",0.841,"3","Utah","Pac 12",2021,40.5621704,-111.929658
"Sam Huard","Burien, WA","QB",0.9935,"5","Washington","Pac 12",2021,47.469918,-122.3485274
"Owen Prentice","Seattle, WA","IOL",0.9246,"4","Washington","Pac 12",2021,47.6038321,-122.3300624
"Jabez Tinae","Burien, WA","WR",0.9016,"4","Washington","Pac 12",2021,47.469918,-122.3485274
"Will Latu","Spanaway, WA","ATH",0.9014,"4","Washington","Pac 12",2021,47.0979462,-122.4243422
"Voi Tunuufi","Salt Lake City, UT","DL",0.8858,"3","Washington","Pac 12",2021,40.7596198,-111.8867975
"Quentin Moore","Independence, KS","TE",0.8838,"3","Washington","Pac 12",2021,37.2242358,-95.7083131
"Dyson McCutcheon","La Puente, CA","CB",0.8788,"3","Washington","Pac 12",2021,34.01979,-117.9503677
"Zakhari Spears","Los Angeles, CA","CB",0.8767,"3","Washington","Pac 12",2021,34.0536909,-118.242766
"Kuao Peihopa","Honolulu, HI","DL",0.8762,"3","Washington","Pac 12",2021,21.304547,-157.855676
"Maurice Heims","Rancho Santa Margarita, CA","Edge",0.8681,"3","Washington","Pac 12",2021,33.6408845,-117.6029341
"Caleb Berry","Lufkin, TX","RB",0.854,"3","Washington","Pac 12",2021,31.3386242,-94.7288558
"Vincent Nunley","Oakley, CA","S",0.841,"3","Washington","Pac 12",2021,37.9974219,-121.7124536
"Robert Wyrsch","Soquel, CA","OT",0.8404,"3","Washington","Pac 12",2021,36.992568,-121.942859743031
"Caden Jumper","Eatonville, WA","ATH",0.8348,"3","Washington","Pac 12",2021,46.8682516,-122.270068
"Siaosi Finau","Renton, WA","DL",0.8282,"3","Washington","Pac 12",2021,47.4799078,-122.2034496
"Davon Banks","San Jacinto, CA","CB",NA,NA,"Washington","Pac 12",2021,33.7839664,-116.9589086
"CJ Moore","Fort Dodge, IA","WR",0.8817,"3","Washington State","Pac 12",2021,42.4974694,-94.1680158
"Xavier Ward","Corona, CA","QB",0.8625,"3","Washington State","Pac 12",2021,33.8752945,-117.5664449
"Gavin Barthiel","Lakeland, FL","LB",0.8567,"3","Washington State","Pac 12",2021,28.0394654,-81.9498042
"Jaden Hicks","Las Vegas, NV","S",0.8559,"3","Washington State","Pac 12",2021,36.1672559,-115.148516
"Tsion Nunnally","Santa Rosa, CA","WR",0.8552,"3","Washington State","Pac 12",2021,38.4404925,-122.7141049
"Andrew Edson","Snoqualmie, WA","Edge",0.854,"3","Washington State","Pac 12",2021,47.5289527,-121.8270932
"Raam Stevenson Jr.","Arlington, TX","Edge",0.8519,"3","Washington State","Pac 12",2021,32.701939,-97.105623790337
"Xavier Young","Miami, FL","DL",0.8484,"3","Washington State","Pac 12",2021,25.7741728,-80.19362
"David Gusta","San Bernardino, CA","DL",0.8456,"3","Washington State","Pac 12",2021,34.8253019,-116.0833144
